Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
2.11	2.70875	2.41823	0	-9.91749	6.95602	0	12.054	-3.64267	0	
2.12	2.72216	2.42637	0	-9.9765	6.98773	0	12.1139	-3.66689	0	
2.13	2.73558	2.43451	0	-10.0355	7.01943	0	12.1737	-3.69111	0	
2.14	2.74899	2.44265	0	-10.0945	7.05114	0	12.2336	-3.71533	0	
2.15	2.7624	2.4508	0	-10.1536	7.08285	0	12.2934	-3.73955	0	
2.16	2.77582	2.45894	0	-10.2126	7.11455	0	12.3533	-3.76377	0	
2.17	2.78923	2.46708	0	-10.2716	7.14625	0	12.4131	-3.78799	0	
2.18	2.80265	2.47522	0	-10.3306	7.17796	0	12.473	-3.81221	0	
2.19	2.81606	2.48336	0	-10.3896	7.20966	0	12.5329	-3.83643	0	
2.2	2.82948	2.4915	0	-10.4486	7.24137	0	12.5927	-3.86064	0	
2.21	2.84289	2.49964	0	-10.5076	7.27307	0	12.6526	-3.88486	0	
2.22	2.85631	2.50778	0	-10.5666	7.30477	0	12.7124	-3.90908	0	
2.23	2.86972	2.51592	0	-10.6257	7.33648	0	12.7722	-3.93329	0	
2.24	2.88314	2.52406	0	-10.6847	7.36818	0	12.8321	-3.95751	0	
2.25	2.89655	2.5322	0	-10.7437	7.39988	0	12.8919	-3.98172	0	
2.26	2.90997	2.54034	0	-10.8027	7.43159	0	12.9518	-4.00594	0	
2.27	2.92339	2.54848	0	-10.8617	7.46329	0	13.0116	-4.03015	0	
2.28	2.9368	2.55661	0	-10.9207	7.49499	0	13.0715	-4.05436	0	
2.29	2.95022	2.56475	0	-10.9797	7.52669	0	13.1313	-4.07858	0	
2.3	2.96363	2.57289	0	-11.0387	7.55839	0	13.1912	-4.10279	0	
2.31	2.97705	2.58103	0	-11.0977	7.59009	0	13.251	-4.127	0	
2.32	2.99047	2.58917	0	-11.1567	7.6218	0	13.3108	-4.15121	0	
2.33	3.00388	2.5973	0	-11.2157	7.6535	0	13.3707	-4.17542	0	
2.34	3.0173	2.60544	0	-11.2747	7.6852	0	13.4305	-4.19963	0	
2.35	3.03072	2.61358	0	-11.3337	7.7169	0	13.4904	-4.22384	0	
2.36	3.04414	2.62171	0	-11.3927	7.7486	0	13.5502	-4.24805	0	
2.37	3.05755	2.62985	0	-11.4517	7.7803	0	13.61	-4.27226	0	
2.38	3.07097	2.63799	0	-11.5107	7.812	0	13.6699	-4.29647	0	
2.39	3.08439	2.64612	0	-11.5697	7.8437	0	13.7297	-4.32068	0	
2.4	3.09781	2.65426	0	-11.6287	7.8754	0	13.7896	-4.34489	0	
2.41	3.11122	2.66239	0	-11.6877	7.9071	0	13.8494	-4.3691	0	
2.42	3.12464	2.67053	0	-11.7467	7.9388	0	13.9092	-4.39331	0	
2.43	3.13806	2.67867	0	-11.8057	7.9705	0	13.9691	-4.41751	0	
2.44	3.15148	2.6868	0	-11.8647	8.00219	0	14.0289	-4.44172	0	
2.45	3.1649	2.69494	0	-11.9237	8.03389	0	14.0887	-4.46593	0	
2.46	3.17831	2.70307	0	-11.9827	8.06559	0	14.1486	-4.49013	0	
2.47	3.19173	2.7112	0	-12.0417	8.09729	0	14.2084	-4.51434	0	
2.48	3.20515	2.71934	0	-12.1007	8.12899	0	14.2682	-4.53854	0	
2.49	3.21857	2.72747	0	-12.1597	8.16069	0	14.3281	-4.56275	0	
2.5	3.23199	2.73561	0	-12.2187	8.19238	0	14.3879	-4.58695	0	
